Key,english,russian,german
desc_perk_sa,"A special type of trainers for the cardiovascular system","Особый вид тренеровок для сердечно-сосудистой системы","Eine besondere Art von Training für das Herz-Kreislauf-System"

Stamina_fast,"Special body training - Recovery stamina","Особые тренировки тела - Восстановление выносливости","Spezielles Körpertraining - Erholungskraft"

desc_perk_f_sa,"A special type of trainers to accelerate the recovery of endurance","Особый вид тренеровок для ускорения восстановления выносливости","Eine spezielle Art von Training zur Beschleunigung der Erholung der Ausdauer"

desc_f_sa1,"Beginner athlete","Начинающий атлет","Sportanfänger"

desc_f_sa2,"Professional athlete","Профессиональный атлет","Profisportler"

desc_f_sa3,"Superman","Сверхчеловек","Superman"

desc_long_f_sa1,"Your stamina recovery rate is comparable to that of a novice athlete","Ваша скорость восстановления выносливости сравнима с начинающим атлетом","Die Erholungsrate deiner Ausdauer ist vergleichbar mit der eines Sportanfängers"

desc_long_f_sa2,"Your stamina recovery rate is comparable to that of a professional athlete","Ваша скорость восстановления выносливости сравнима с профессиональным атлетом","Die Erholungsrate deiner Ausdauer ist mit der eines Profisportlers vergleichbar"

desc_long_f_sa3,"By hard training, you were able to overcome the human threshold in the speed of endurance recovery","Благодаря упорным тренировкам вы смогли преодолеть человеческий порог в скорости восстановления выносливости","Durch hartes Training warst du in der Lage, die menschliche Schwelle bei der Geschwindigkeit der Ausdauererholung zu überwinden"
